Index,price_per_ping
1447,185577
1448,264964
1449,287625
1450,145206
1451,64935
1452,192395
1453,175031
1454,168622
1455,166690
1456,0
1457,171940
1458,45000
1459,173722
1460,241995
1461,197380
1462,143508
1463,275238
1464,154412
1465,329169
1466,234652
1467,175960
1468,135888
1469,137557
1470,196595
1471,141524
1472,147283
1473,152981
1474,185452
1475,154240
1476,1739971
1477,230913
1478,229047
1479,286519
1480,208299
1481,135867
1482,202880
1483,220957
1484,451389
1485,156614
1486,139806
1487,111657
1488,189033
1489,160221
1490,78076
1491,217777
1492,317549
1493,105621
1494,143190
1495,182500
1496,181546
1497,235335
1498,356764
1499,31676
1500,140397
1501,132055
1502,149167
1503,117308
1504,108278
1505,211298
1506,259048
1507,223671
1508,20182
1509,348480
1510,157525
1511,0
1512,54845
1513,175963
1514,193478
1515,183777
1516,148991
1517,76729
1518,112867
1519,201288
1520,202573
1521,220391
1522,450062
1523,608026
1524,218309
1525,181566
1526,135958
1527,189941
1528,211689
1529,148515
1530,168580
1531,130395
1532,237277
1533,133686
1534,177746
1535,212766
1536,157398
1537,13725
1538,283206
1539,91793
1540,135065
1541,192381
1542,198885
1543,159624
1544,106934
1545,191160
1546,123954
1547,500949
1548,170950
1549,68831
1550,260910
1551,86580
1552,126728
1553,162670
1554,127157
1555,269978
1556,60988
1557,178775
1558,159669
1559,210610
1560,278522
1561,171199
1562,157411
1563,190648
1564,118510
1565,135756
1566,182808
1567,250428
1568,214682
1569,169791
1570,226145
1571,240123
1572,124734
1573,194647
1574,191152
1575,167558
1576,239947
1577,0
1578,148100
1579,188698
1580,14524
1581,106482
1582,522558
1583,86142
1584,129408
1585,92395
1586,331749
1587,134177
1588,207814
1589,248876
1590,0
1591,57064
1592,602532
1593,190172
1594,122991
1595,82804
1596,450237
1597,127551
1598,311976
1599,274995
1600,169811
1601,221453
1602,121667
1603,192465
1604,231491
1605,214229
1606,186096
1607,180631
1608,112721
1609,161826
1610,255509
1611,123098
1612,176274
1613,344290
1614,49393
1615,259977
1616,210637
1617,202751
1618,289730
1619,187149
1620,198598
1621,176678
1622,71862
1623,107609
1624,106813
1625,56279
1626,251604
1627,300391
1628,127239
1629,195238
1630,219173
1631,227237
1632,143632
1633,272222
1634,170901
1635,166047
1636,184752
1637,302267
1638,223475
1639,289626
1640,31560
1641,195403
1642,132286
1643,165274
1644,153872
1645,34734
1646,260762
1647,118956
1648,384146
1649,254912
1650,57855
1651,240666
1652,86450
1653,294296
1654,218394
1655,170765
1656,303182
1657,148644
1658,147601
1659,236442
1660,131300
1661,228676
1662,83102
1663,0
1664,200441
1665,133738
1666,297758
1667,118577
1668,189864
1669,191152
1670,97898
1671,56842
1672,105309
1673,66361
1674,163684
1675,1180202
1676,45038
1677,125166
1678,247977
1679,168114
1680,217226
1681,172563
1682,90586
1683,117489
1684,188679
1685,104524
1686,117670
1687,753331
1688,163773
1689,78980
1690,112164
1691,389905
1692,303070
1693,147484
1694,114656
1695,164104
1696,319522
1697,458035
1698,114943
1699,236341
1700,166619
1701,234294
1702,213980
1703,98699
1704,182899
1705,68889
1706,258028
1707,196641
1708,235881
1709,168685
1710,161457
1711,114988
1712,243883
1713,180596
1714,160281
1715,293371
1716,235632
1717,151154
1718,224859
1719,111903
1720,118064
1721,226054
1722,118310
1723,24568
1724,104500
1725,276194
1726,93780
1727,178355
1728,320890
1729,155323
1730,120918
1731,281202
1732,181961
1733,236921
1734,132520
1735,135877
1736,249479
1737,240511
1738,63781
1739,371860
1740,95992
1741,156090
1742,153250
1743,381473
1744,270177
1745,226285
1746,341240
1747,210841
1748,164938
1749,241383
1750,248207
1751,159481
1752,227633
1753,280973
1754,224508
1755,138421
1756,254555
1757,216476
1758,117296
1759,95135
1760,134286
1761,103412
1762,116317
1763,123734
1764,157699
1765,144671
1766,165378
1767,315126
1768,229810
1769,104621
1770,148936
1771,327262
1772,175367
1773,285052
1774,591000
1775,185970
1776,412789
1777,152711
1778,217958
1779,120603
1780,176678
1781,161865
1782,232491
1783,157746
1784,169388
1785,185837
1786,259868
1787,185989
1788,189036
1789,198986
1790,320760
1791,266084
1792,13310
1793,121984
1794,184941
1795,107347
1796,1142154
1797,2405
1798,298986
1799,222135
1800,216271
1801,194111
1802,245606
1803,278356
1804,165584
1805,900668
1806,161694
1807,136566
1808,209125
1809,328171
1810,137970
1811,212364
1812,244441
1813,276601
1814,219118
1815,148148
1816,71074
1817,169781
1818,212601
1819,183686
1820,298023
1821,192921
1822,149287
1823,137555
1824,7199
1825,335035
1826,230417
1827,118768
1828,158808
1829,177440
1830,367528
1831,239289
1832,222819
1833,204881
1834,242575
1835,127711
1836,126368
1837,215628
1838,120824
1839,145098
1840,140864
1841,269517
1842,183898
1843,247893
1844,188917
1845,140113
1846,188235
1847,27010
1848,44097
1849,97716
1850,198905
1851,206366
1852,161942
1853,110648
1854,144912
1855,148741
1856,148775
1857,76606
1858,130061
1859,130406
1860,447000
1861,136476
1862,46712
1863,241458
1864,93262
1865,1840
1866,11973
1867,183942
1868,235227
1869,271718
1870,174552
1871,232203
1872,191543
1873,212078
1874,354493
1875,256609
1876,168632
1877,218137
1878,107793
1879,172260
1880,141218
1881,121533
1882,190486
1883,177167
1884,167442
1885,170180
1886,308543
1887,130479
1888,69734
1889,155366
1890,215426
1891,225460
1892,265675
1893,258685
1894,236802
1895,119125
1896,226145
1897,157257
1898,120842
1899,142207
1900,324352
1901,217473
1902,142718
1903,230278
1904,262108
1905,272253
1906,364852
1907,103239
1908,163855
1909,99656
1910,330166
1911,244717
1912,152492
1913,196204
1914,10652
1915,599659
1916,37665
1917,192205
1918,198532
1919,189401
1920,234294
1921,206160
1922,394955
1923,171809
1924,110095
1925,100327
1926,237163
1927,74978
1928,34155
1929,194467
1930,135972
1931,153477
1932,139055
1933,64516
1934,203281
1935,118238
1936,219298
1937,106375
1938,241468
1939,195296
1940,127302
1941,92160
1942,81060
1943,477970
1944,0
1945,220091
1946,83333
1947,212866
1948,182163
1949,120914
1950,116783
1951,117801
1952,157160
1953,23900
1954,0
1955,61736
1956,149701
1957,301379
1958,319064
1959,47494
1960,730000
1961,46860
1962,146552
1963,126015
1964,218436
1965,194631
1966,277645
1967,107600
1968,80551
1969,256855
1970,61551
1971,281690
1972,134120
1973,121392
1974,212787
1975,138716
1976,154440
1977,0
1978,140779
1979,97503
1980,142895
1981,171996
1982,219427
1983,376840
1984,34846
1985,281351
1986,167942
1987,141238
1988,98642
1989,121259
1990,112139
1991,127558
1992,220345
1993,635000
1994,211840
1995,191453
1996,55200
1997,147099
1998,202022
1999,217273
2000,192410
2001,272109
2002,104703
2003,140429
2004,134857
2005,40714
2006,49179
2007,101885
2008,210254
2009,132225
2010,54642
2011,296736
2012,222750
2013,7300
2014,102552
2015,161475
2016,144858
2017,169676
2018,186286
2019,169238
2020,284666
2021,173157
2022,126893
2023,190089
2024,138908
2025,63508
2026,109361
2027,246053
2028,161670
2029,275268
2030,184831
2031,283447
2032,152427
2033,1161114
2034,215817
2035,83160
2036,131954
2037,205498
2038,217368
2039,205682
2040,368173
2041,198903
2042,112004
2043,160648
2044,169270
2045,160722
2046,150773
2047,181482
2048,228894
2049,198093
2050,196639
2051,194896
2052,170331
2053,248344
2054,175655
2055,249917
2056,166096
2057,54625
2058,362997
2059,235048
2060,59442
2061,144491
2062,93170
2063,242647
2064,193923
2065,123210
2066,211022
2067,206696
2068,229155
2069,117571
2070,50319
2071,209326
2072,136123
2073,74728
2074,149029
2075,151006
2076,181503
2077,95654
2078,196481
2079,145979
2080,93553
2081,157214
2082,237271
2083,129061
2084,116266
2085,219446
2086,18246
2087,188285
2088,63755
2089,165252
2090,136853
2091,174407
2092,248647
2093,75274
2094,199238
2095,160329
2096,108025
2097,161885
2098,262342
2099,187781
2100,334150
2101,192158
2102,247849
2103,224040
2104,129786
2105,524333
2106,119265
2107,197508
2108,319271
2109,99779
2110,153952
2111,179728
2112,195789
2113,66392
2114,190552
2115,264246
2116,208801
2117,84875
2118,24138
2119,196980
2120,243971
2121,200203
2122,136314
2123,152400
2124,222202
2125,162805
2126,213639
2127,248055
2128,125870
2129,109434
2130,246049
2131,113090
2132,145223
2133,205679
2134,123195
2135,273360
2136,184160
2137,244004
2138,185665
2139,177130
2140,199077
2141,157626
2142,218617
2143,278292
2144,122023
2145,107527
2146,239427
2147,47782
2148,142387
2149,245504
2150,242702
2151,94449
2152,357143
2153,327125
2154,40047
2155,140430
2156,99485
2157,5338
2158,171481
2159,180129
2160,187069
2161,258709
2162,148856
2163,71111
2164,160124
2165,179634
2166,226929
2167,157557
2168,289534
2169,12369
2170,202705
2171,209016
2172,193614
2173,174102
2174,453351
2175,191657
2176,23388
2177,166375
2178,153201
2179,123944
2180,236051
2181,143062
2182,121749
2183,187198
2184,129374
2185,72740
2186,77218
2187,214362
2188,273874
2189,155107
2190,147667
2191,198785
2192,244413
2193,144231
2194,116279
2195,699483
2196,290269
2197,178465
2198,86181
2199,199342
2200,178415
2201,75228
2202,289447
2203,87893
2204,136256
2205,229102
2206,198243
2207,394375
2208,184534
2209,157365
2210,132227
2211,243868
2212,178253
2213,201635
2214,121683
2215,382572
2216,354107
2217,165312
2218,44875
2219,219695
2220,129886
2221,179797
2222,224277
2223,49580
2224,504749
2225,151815
2226,0
2227,317562
2228,103716
2229,139850
2230,208026
2231,225632
2232,197510
2233,139740
2234,127808
2235,324254
2236,172104
2237,54915
2238,344631
2239,118042
2240,119248
2241,265494
2242,195210
2243,169316
2244,91104
2245,198111
2246,423499
2247,152752
2248,142736
2249,144387
2250,112613
2251,203067
2252,275759
2253,122865
2254,195299
2255,400947
2256,244019
2257,146489
2258,147124
2259,224118
2260,178136
2261,227020
2262,238280
2263,181658
2264,147537
2265,151832
2266,224779
2267,167324
2268,408299
2269,194175
2270,223848
2271,133111
2272,234696
2273,284433
2274,52536
2275,298986
2276,102302
2277,366094
2278,119941
2279,223152
2280,307379
2281,56457
2282,53874
2283,69543
2284,171363
2285,188094
2286,221844
2287,292181
2288,154419
2289,224037
2290,196444
2291,173863
2292,228617
2293,121022
2294,211245
2295,131466
2296,1273
2297,222641
2298,239924
2299,113868
2300,93677
2301,302182
2302,200996
2303,311430
2304,92329
2305,145154
2306,10532
2307,138889
2308,169180
2309,231937
2310,108831
2311,282250
2312,1075491
2313,337904
2314,21167
2315,319731
2316,191229
2317,194585
2318,175767
2319,242809
2320,158960
2321,219400
2322,88745
2323,205239
2324,238223
2325,151572
2326,414233
2327,2406
2328,408149
2329,322812
2330,274250
2331,377644
2332,183140
2333,166530
2334,205374
2335,116423
2336,152421
2337,127077
2338,382123
2339,104594
2340,136093
2341,186260
2342,130080
2343,267844
2344,218675
2345,485849
2346,163770
2347,297198
2348,60948
2349,141034
2350,180556
2351,148194
2352,193741
2353,79083
2354,180949
2355,145055
2356,32666
2357,230356
2358,165994
2359,309374
2360,211799
2361,161259
2362,218182
2363,278106
2364,72916
2365,132529
2366,168886
2367,298359
2368,173000
2369,311680
2370,140453
2371,468050
2372,241229
2373,256795
2374,143654
2375,17045
2376,218553
2377,170841
2378,623266
2379,213731
2380,132500
2381,196843
2382,81721
2383,317173
2384,88786
2385,252572
2386,317162
2387,177746
2388,135833
2389,244362
2390,154645
2391,320648
2392,60080
2393,143133
2394,68291
2395,198145
2396,185333
2397,217833
2398,132833
2399,169431
2400,58573
2401,476842
2402,208423
2403,54642
2404,151260
2405,193992
2406,149053
2407,136901
2408,307929
2409,90605
2410,173000
2411,239345
2412,126171
2413,0
2414,90900
2415,234659
2416,118880
2417,139779
2418,154280
2419,245391
2420,138406
2421,184657
2422,139689
2423,181538
2424,197863
2425,236475
2426,141400
2427,121250
2428,214693
2429,219503
2430,684717
2431,294820
2432,207781
2433,113211
2434,428516
2435,48719
2436,83237
2437,214341
2438,155902
2439,252606
2440,217865
2441,67728
2442,23207
2443,367009
2444,105245
2445,219459
2446,356516
2447,432836
2448,206335
2449,120959
2450,259764
2451,122055
2452,177374
2453,309233
2454,239778
2455,136471
2456,133772
2457,188340
2458,0
2459,151261
2460,91503
2461,219062
2462,136029
2463,232512
2464,98315
2465,148645
2466,18150
2467,140882
2468,181803
2469,135651
2470,108747
2471,87709
2472,175245
2473,105478
2474,99001
2475,300015
2476,98615
2477,131815
2478,218935
2479,169449
2480,212160
2481,156026
2482,107884
2483,120899
2484,243536
2485,257164
2486,139481
2487,141303
2488,181545
2489,126661
2490,170358
2491,2000000
2492,168004
2493,50900
2494,215711
2495,217175
2496,160486
2497,135108
2498,54642
